"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_contig_10" 5492.70960072414 7.86315045404726 0.797197012058053 9.86349714701973 5.99250758526255e-23 3.33723781460989e-20
"Phel_contig_10001" 136.224412089297 1.62245162721988 0.60233660400547 2.6935962656607 0.00706857297426114 0.0427017324852335
"Phel_contig_10005" 51.5511935035151 -2.82637595320884 0.992107639509432 -2.8488601847743 0.00438761574975099 0.0296180303056829
"Phel_contig_10010" 8.7342056518699 2.8568800041403 0.930855613493041 3.06909037527296 0.00214711627481923 0.0172713540500277
"Phel_contig_10013" 189.785994443343 -2.07211153983237 0.51230767575993 -4.04466229548231 5.23985994475307e-05 0.000879652465585642
"Phel_contig_10045" 50.2388038133868 3.42378417357312 0.806817297734587 4.24356813269442 2.19993538681562e-05 0.000428875262851405
"Phel_contig_1005" 3425.16142786886 -1.73100403136058 0.426139021400838 -4.06206412562334 4.86407105891648e-05 0.000832029435731326
"Phel_contig_10050" 281.308679616738 -1.59926287336436 0.401341421248217 -3.98479396517426 6.75387006174886e-05 0.00108278761138236
"Phel_contig_10058" 24.604598291592 2.89350967443431 1.04807078341824 2.76079604566138 0.00576606725160645 0.0365880013989568
"Phel_contig_1006" 78.3048539525125 -2.1321295608373 0.535009267448811 -3.98521986545083 6.74176717359434e-05 0.00108171680012629
"Phel_contig_10064" 146.509765995238 2.10731702191139 0.76756602010963 2.74545376775591 0.00604272809391494 0.0378412579504319
"Phel_contig_10065" 28.4083629912895 2.49208004783606 0.677873370786301 3.67632091071134 0.000236621832659714 0.00304797320881634
"Phel_contig_10088" 26.9096014065836 -3.87447335558475 0.896735276421223 -4.32064340219487 1.55574913583581e-05 0.000321781544467121
"Phel_contig_10091" 35.278750858583 -2.48803870908866 0.868287752701016 -2.86545410936527 0.00416411622914837 0.0285148872708154
"Phel_contig_10092" 299.826637976748 -1.7655907402105 0.440923666475 -4.00430023256782 6.2201327616612e-05 0.00101035129452929
"Phel_contig_10095" 25.9815160428041 -2.80748104024358 0.758825505527576 -3.6997715809403 0.000215793604799342 0.0028151167592355
"Phel_contig_10096" 133.134858412466 2.0027916583147 0.664799029330373 3.01262723011499 0.00258996843152919 0.019905000349732
"Phel_contig_10104" 564.435027793299 -2.07950245739684 0.547137178934548 -3.80069667619061 0.000144289840919025 0.00203291145594889
"Phel_contig_10111" 79.888449006555 -1.32369674986279 0.480844372339232 -2.75285898309097 0.00590773372728315 0.0372286335989818
"Phel_contig_10123" 20.543708195679 -2.42751405349487 0.78368047511118 -3.09758138755528 0.00195106813831055 0.0160691927522954
"Phel_contig_10131" 231.736116465646 -1.69923505684028 0.634871748699599 -2.67650129387677 0.00743952785206013 0.0443818685105175
"Phel_contig_10136" 49.0343555401358 1.44964518648837 0.522070730171914 2.77672181700555 0.00549101529941996 0.0352359691346244
"Phel_contig_10138" 1183.17734641357 -1.43183454897682 0.503554907650563 -2.8434526746196 0.00446276364610232 0.0300109441482616
"Phel_contig_1014" 79.7722706317807 2.73018941032749 0.775481908846418 3.52063585131061 0.000430513398484828 0.00495721977298727
"Phel_contig_10155" 119.980625844103 1.53347720933396 0.509297343042228 3.01096644285225 0.00260417630820608 0.0199974566740909
"Phel_contig_10156" 243.798360832583 -1.73571787290651 0.481799472923055 -3.60257320826024 0.00031508262256158 0.00384441007284388
"Phel_contig_10157" 457.965880020653 -2.18618297518857 0.468616084852799 -4.66518979150128 3.08332319132285e-06 8.13772940143993e-05
"Phel_contig_10159" 333.229684171214 -1.72633108547399 0.416656880662018 -4.14329191619506 3.42355707914671e-05 0.000621356329639878
"Phel_contig_10160" 163.35831656403 -1.35888214484479 0.478165735664293 -2.84186432337517 0.00448505742184279 0.0301319651448301
"Phel_contig_10161" 47.7332349044404 -2.54253417244235 0.793797306749558 -3.2030017623183 0.00136003148777439 0.0121324267791918
"Phel_contig_10165" 435.071834734386 3.26499456226835 0.539973309971357 6.0465850848101 1.47948116194846e-09 9.67204982210789e-08
"Phel_contig_10172" 49.6474630690602 -2.46307191400531 0.632903697836181 -3.89170093716665 9.95438990331538e-05 0.00149885892352354
"Phel_contig_10178" 712.298216273985 -2.59305879561718 0.523158468173208 -4.95654558488131 7.17575375979671e-07 2.29395106895629e-05
"Phel_contig_10182" 17.3431113640648 3.70429685401708 1.19447168631041 3.10120105522069 0.00192737375877805 0.0159176705990955
"Phel_contig_1019" 1731.73412320662 1.67887958669089 0.46733415557079 3.5924606979354 0.000327570070812074 0.00396229812509026
"Phel_contig_10198" 95.4883304727112 1.81199660438402 0.501198492907713 3.61532732046278 0.00029996837019209 0.00370730591480059
"Phel_contig_10208" 26.8479420932029 4.11963123645925 0.839315658111899 4.90832167450165 9.18591001125132e-07 2.83322019188668e-05
"Phel_contig_1021" 738.986274969809 2.97894156939423 0.549173433542026 5.42440946238209 5.81464530570553e-08 2.50424764111049e-06
"Phel_contig_10214" 272.205171173867 -1.8518160689942 0.422649166392019 -4.38144971348786 1.17892255040552e-05 0.000253047304569185
"Phel_contig_10224" 17.2754195021612 3.04827069321279 0.821067715146576 3.71256917910677 0.000205165956865913 0.00270235811062898
"Phel_contig_1023" 175.433198906664 -1.10449990904916 0.41094979084076 -2.68767604623783 0.00719511634351699 0.0433045128142718
"Phel_contig_10235" 238.896644436903 -1.81030972305714 0.469039122168397 -3.85961348956983 0.00011356650597167 0.00167875717014341
"Phel_contig_10244" 44.5932150538672 2.86744078478516 0.737107699046634 3.89012458897645 0.000100192767810526 0.00150539633635316
"Phel_contig_10247" 86.1689630634476 1.59346904850058 0.543252441182238 2.93320181872139 0.00335485736461665 0.0240225784487908
"Phel_contig_10256" 29.0294133855627 -2.27960692612756 0.827644235133563 -2.75433190899914 0.00588120915876508 0.0371059492065457
"Phel_contig_10261" 66.0462153459919 2.57923651098006 0.751825017646513 3.43063405771467 0.000602172346268023 0.00644540243634185
"Phel_contig_10262" 73.6835986039648 1.95204077974207 0.573218577575442 3.40540390019925 0.000660662614282389 0.00691051123392842
"Phel_contig_10263" 177.203163603303 1.26411627582896 0.459756314875523 2.74953542763456 0.00596798110504926 0.0375071653853335
"Phel_contig_10267" 137.504608895085 2.52767469893356 0.680412723743646 3.71491392022512 0.000203272879565443 0.00268246237243356
"Phel_contig_1027" 4012.26001947621 1.55018810070103 0.410306685008919 3.77812050677977 0.000158016416550107 0.00219542623654656
"Phel_contig_10279" 62.545237178926 2.36874395147732 0.761419377131659 3.11095832680357 0.00186481254379629 0.0155474957823047
"Phel_contig_10295" 261.125131897763 1.58161258235941 0.557514996980485 2.83689692820006 0.00455543154389155 0.0304782132715518
"Phel_contig_10304" 15.5827983263333 2.68252993959562 0.765004405990908 3.50655488855773 0.000453947801710901 0.00517155847231344
"Phel_contig_1031" 13970.3368078666 -2.45462675605017 0.558285159556482 -4.39672578436474 1.09896037897732e-05 0.000238315789399876
"Phel_contig_10315" 13.6694576511194 -2.9166748297905 0.882786227774746 -3.3039423792809 0.000953354247684206 0.00919899385322811
"Phel_contig_10324" 18.7513561155019 3.2789927111785 0.85892611449485 3.81754921156045 0.000134783908236959 0.00192345964027437
"Phel_contig_10335" 45.8975386306614 4.07207057496041 0.898807383732616 4.53052639381943 5.88369032727105e-06 0.000139930498918175
"Phel_contig_10336" 100.327822261364 1.91511508492781 0.569882051566954 3.36054641423079 0.000777884593183054 0.00780897970497403
"Phel_contig_10341" 14.6733810155462 -4.921685420406 1.10907211834473 -4.43766040007527 9.09419491533868e-06 0.000202859374384039
"Phel_contig_10344" 129.739542685059 1.64792325384755 0.546533810898925 3.01522654405788 0.00256787376813925 0.0197785517073633
"Phel_contig_10349" 300.242499795969 -2.72701781866007 0.451858811924035 -6.03511040771409 1.58854038428863e-09 1.01874838364364e-07
"Phel_contig_10373" 22.2498136864634 4.4815250252244 1.04599440431726 4.28446367086408 1.83180536242726e-05 0.000368727519604378
"Phel_contig_10383" 45.0973328339636 3.72170596660309 0.98624753443117 3.77360230233643 0.00016090719318363 0.00222823094708207
"Phel_contig_1039" 1040.99115177378 2.6191274583222 0.64821334194361 4.04053309126433 5.33298391901602e-05 0.000889597556175744
"Phel_contig_10393" 14.2790044447437 -2.69107483567643 0.87675869307932 -3.06934491430583 0.00214528755825537 0.0172698521959058
"Phel_contig_10397" 17.2900911458318 2.85338107786814 0.88491152316742 3.22448177378779 0.00126200889671066 0.0114572106785968
"Phel_contig_10408" 152.736727646269 -1.76096419104706 0.522343732546456 -3.37127466326102 0.000748212204399955 0.00759953825183634
"Phel_contig_10414" 82.0657342359111 1.71621622724215 0.58625447546054 2.92742537426935 0.00341781071197612 0.0243754079477935
"Phel_contig_1044" 414.102744273112 -2.00569827938591 0.509297343271255 -3.9381675673059 8.21062488986559e-05 0.0012757108623066
"Phel_contig_10449" 11.0247893379153 -4.35370085526667 1.17950342582881 -3.6911303180043 0.000223259707894539 0.00289357236941566
"Phel_contig_1045" 171.858194996527 1.23755072574703 0.41385448518427 2.99030400793169 0.00278699917343453 0.0209597882063623
"Phel_contig_10459" 103.220238329598 1.44139264939038 0.459291216920995 3.13829787352177 0.00169932090170778 0.0144717470313454
"Phel_contig_10460" 374.970918625881 -2.44936403796251 0.730717480771089 -3.35199868953158 0.000802303985502634 0.00800784925419763
"Phel_contig_1047" 32.1218156261307 1.62304336533976 0.568661308168007 2.85414770097255 0.00431524635590189 0.029215065045509
"Phel_contig_10487" 8.96122056901388 -3.14361060969652 1.17771931505465 -2.66923584381449 0.00760240471797548 0.0450977392111151
"Phel_contig_1049" 324.790716950806 1.70416711068478 0.642495212265926 2.65241993737914 0.00799170784185698 0.0467869675628894
"Phel_contig_105" 119538.811577382 2.06764017595096 0.769998404439134 2.68525254601927 0.00724750201490318 0.0435520720326589
"Phel_contig_10506" 53.5107914956017 1.68603706510397 0.532693647342644 3.16511577247976 0.00155021255680262 0.0134251253635038
"Phel_contig_10517" 243.345767195311 -1.32288379461471 0.46797410816468 -2.82683116765338 0.00470111063354202 0.0312837273573414
"Phel_contig_10524" 94.8660887262169 -2.14246872349884 0.804242911386921 -2.66395723625856 0.00772273794781538 0.0456057812274836
"Phel_contig_10536" 79.4089185285588 -1.54233485150741 0.524972580350147 -2.93793411168008 0.00330407235374372 0.0237610810123074
"Phel_contig_10537" 17.0190450379294 6.22705757161988 1.12451875139054 5.53753111179315 3.06765213581247e-08 1.4500688241981e-06
